Zone Name,Woreda Name,Region,NTD Zone ID,Woreda ID,Period,Trachoma Data Source,Current TF %  (1-9 yrs),Current TT%,Population treated for trachoma with Azithromycin Tablets Women,Population treated for trachoma with Azithromycin Tablets Men,Population treated for trachoma with Azithromycin Pediatric Oral Suspension Women,Population treated for trachoma with Azithromycin Pediatric Oral Suspension Men,Population treated for trachoma with tetracycline eye ointment  Women,Population treated for trachoma with tetracycline eye ointment Men,Number of Persons Treated with Azythromycin Eye Drops Women,Number of Persons Treated with Azythromycin Eye Drops Men,Number of Persons Operated on for TT Female,"Number of Persons Operated on for TT Male	",Population targeted for trachoma treatment
Afder,Bare,Somali,ORG00000844,ORG00000854,2018,TEMF Import,11.3,0.1,"38,423",38423,6173,6173,1282,1282,,,,,107934
Afder,Chereti,Somali,ORG00000844,ORG00000848,2018,TEMF Import,10.3,0.8,"39,988",39988,5807,5807,271,271,,,,,126228
Afder,Dolobay,Somali,ORG00000844,ORG00000849,2018,TEMF Import,11.3,0.1,"41,982",41982,6994,6994,301,301,,,,,115735
Afder,Elkere,Somali,ORG00000844,ORG00000853,2018,TEMF Import,8.1,0.2,,,0,0,987,987,,,,,79738
Afder,God-god,Somali,ORG00000844,ORG00000855,2018,TEMF Import,11.3,0.1,"12,123",12123,1947,1947,280,280,,,,,31215
Afder,Goraboqaksa,Somali,ORG00000844,ORG00000851,2018,TEMF Import,10.3,0.8,"25,802",25802,4400,4400,627,627,,,,,70943
Afder,Guradamole,Somali,ORG00000844,ORG00000845,2018,TEMF Import,10.3,0.8,"11,006",11006,1845,1845,,,,,,,29564
Afder,Hargele,Somali,ORG00000844,ORG00000846,2018,TEMF Import,11.3,0.1,"39,205",39205,6228,6228,,,,,,,108917
Afder,Karsa dula baliad,Somali,ORG00000844,ORG00000852,2018,TEMF Import,16.8,1.0,"20,617",20617,3546,3546,,,,,,,57883
Afder,Qooxle,Somali,ORG00000844,ORG00000856,2018,TEMF Import,11.3,0.1,"7,188",7188,1217,1217,,,,,,,19813
Afder,Raso,Somali,ORG00000844,ORG00000850,2018,TEMF Import,8.1,0.2,,,,,,,,,,,43537
Afder,West Emay,Somali,ORG00000844,ORG00000847,2018,TEMF Import,8.1,0.2,,,,,,,,,,,66571
Degehabur,Ararso,Somali,ORG00000857,ORG00000861,2018,TEMF Import,5.3,,,,,,,,,,,,42503
