Organization Unit,Event Date,Survey Type,Administrative Unit,Site Name,Number of PC rounds,Month,Year,Latitude,Longitude,Age group,Diagnostic Test,Ascaris Nbr examined,Ascaris Nbr Positives,Ascaris % Positives,Ascaris % Positives heavy intensity,Ascaris % Positives Moderate intensity,Ankylostome Nbr examined,Ankylostome Nbr Positives,Ankylostome % Positives,Ankylostome % Positives heavy intensity,Ankylostome % Positives Moderate intensity,Trichuris Nbr examined,Trichuris Nbr Positives,Trichuris % Positives,Trichuris % Positives heavy intensity,Trichuris % Positives Moderate intensity,STH examined,STH Positives,STH % Positives
iuGjpnxnFbI,8/1/21,Mapping,Akule,akule,0,August   ,2021,11.85239697,41.87280655,09 - 15,Kato-Katz,18,3,16,0,16,18,2,11,0,0,18,0,0,0,0,18,2,11
iuGjpnxnFbI,8/1/21,Mapping,Ayirolef Na Geblayitu,Ayroleaf,0,August   ,2021,11.80544281,41.12784576,09 - 15,Kato-Katz,8,2,25,0,0,8,0,0,0,0,8,1,12,0,0,8,1,12
iuGjpnxnFbI,8/1/21,Mapping,Ayirolef Na Geblayitu,Ayrolef,0,August   ,2021,11.80704117,41.12390518,09 - 15,Kato-Katz,4,1,25,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0
iuGjpnxnFbI,1/1/70,Mapping,Alifanade,Alifanade ,0,January  ,1970,7.454248905,42.72195053,09 - 15,Kato-Katz,32,0,0,0,0,32,0,0,0,0,32,0,0,0,0,32,0,0
iuGjpnxnFbI,7/1/21,Mapping,1,Ayun01,0,July     ,2021,7.086084843,42.27728271,09 - 15,Kato-Katz,30,7,23,0,0,30,0,0,0,0,30,2,6,0,0,30,2,6
iuGjpnxnFbI,7/1/21,Mapping,1,Baraka allah,0,July     ,2021,6.52618742,43.49466705,09 - 15,Kato-Katz,29,4,13,0,0,29,3,10,0,0,29,0,0,0,0,29,3,10
iuGjpnxnFbI,7/1/21,Mapping,1,Biyo janale,0,July     ,2021,7.219258308,42.69206619,09 - 15,Kato-Katz,30,3,10,0,0,30,3,10,0,0,30,3,10,0,0,30,6,20
iuGjpnxnFbI,7/1/21,Mapping,1,Mahmud mire primary school ,0,July     ,2021,7.689979076,42.1873703,09 - 15,Kato-Katz,30,2,6,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0
iuGjpnxnFbI,7/1/21,Mapping,1,Mohamed Askar ,0,July     ,2021,7.755537987,44.50369263,09 - 15,Kato-Katz,30,8,26,0,0,30,0,0,0,0,30,3,10,0,0,30,3,10
iuGjpnxnFbI,7/1/21,Mapping,1,Mohamud fidhen,0,July     ,2021,7.409556389,43.92347336,09 - 15,Kato-Katz,17,2,11,0,0,17,3,17,0,0,17,0,0,0,0,17,3,17
iuGjpnxnFbI,7/1/21,Mapping,1,Shaygosh,0,July     ,2021,7.409958363,43.92378998,09 - 15,Kato-Katz,19,1,5,0,0,19,1,5,0,0,19,0,0,0,0,19,1,5
iuGjpnxnFbI,7/1/21,Mapping,1,Shaygosh ,0,July     ,2021,7.409958363,43.92379379,09 - 15,Kato-Katz,19,1,5,0,0,19,1,5,0,0,19,0,0,0,0,19,1,5
iuGjpnxnFbI,7/1/21,Mapping,2,Ayun,0,July     ,2021,7.087678432,42.27627182,09 - 15,Kato-Katz,31,1,3,0,0,31,0,0,0,0,31,0,0,0,0,31,0,0
iuGjpnxnFbI,7/1/21,Mapping,2,Fgh,0,July     ,2021,7.222704411,42.69840622,09 - 15,Kato-Katz,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0
iuGjpnxnFbI,7/1/21,Mapping,2,Qubi primary and junior school ,0,July     ,2021,7.822178364,41.87037277,09 - 15,Kato-Katz,30,3,10,0,0,30,1,3,0,0,30,2,6,0,0,30,3,10
iuGjpnxnFbI,7/1/21,Mapping,2,Saleye,0,July     ,2021,7.307723522,43.29733276,09 - 15,Kato-Katz,30,3,10,0,0,30,1,3,0,0,30,3,10,0,0,30,3,10
iuGjpnxnFbI,7/1/21,Mapping,2,Sharif Gahmey primary school ,0,July     ,2021,8.142008781,42.29359055,09 - 15,Kato-Katz,33,2,6,0,0,33,0,0,0,0,33,0,0,0,0,33,0,0
iuGjpnxnFbI,7/1/21,Mapping,3,3,0,July     ,2021,7.768004894,44.49598312,09 - 15,Kato-Katz,60,4,6,0,0,60,3,5,0,0,60,5,8,0,0,60,8,13
iuGjpnxnFbI,7/1/21,Mapping,3,Bilal,0,July     ,2021,7.09008503,42.2853775,09 - 15,Kato-Katz,31,4,12,0,0,31,3,9,0,0,31,0,0,0,0,31,3,9
iuGjpnxnFbI,7/1/21,Mapping,3,Dulcad,0,July     ,2021,8.201741219,43.56030655,09 - 15,Kato-Katz,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0
iuGjpnxnFbI,7/1/21,Mapping,3,Ugas-mashkoke,0,July     ,2021,5.944755554,43.55104828,09 - 15,Kato-Katz,28,2,7,0,0,28,2,7,0,0,28,0,0,0,0,28,2,7
iuGjpnxnFbI,7/1/21,Mapping,3,Umer Ibn Khatab primary school ,0,July     ,2021,7.684265614,42.185009,09 - 15,Kato-Katz,30,1,3,0,0,30,1,3,0,0,30,0,0,0,0,30,1,3
iuGjpnxnFbI,7/1/21,Mapping,03 kebele,Gamadid,0,July     ,2021,6.511328697,43.48846436,09 - 15,Kato-Katz,30,5,16,0,0,30,3,10,0,0,30,0,0,0,0,30,3,10
iuGjpnxnFbI,7/1/21,Mapping,4,Cali xaydar,0,July     ,2021,8.23067379,43.56569672,09 - 15,Kato-Katz,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0
iuGjpnxnFbI,7/1/21,Mapping,4,Hamero primary and junior school ,0,July     ,2021,7.695392609,42.18556595,09 - 15,Kato-Katz,31,1,3,0,0,31,1,3,0,0,31,0,0,0,0,31,1,3
iuGjpnxnFbI,7/1/21,Mapping,4,Sayd ali,0,July     ,2021,5.950068951,43.53798294,09 - 15,Kato-Katz,32,3,9,0,0,32,3,9,0,0,32,0,0,0,0,32,3,9
iuGjpnxnFbI,7/1/21,Mapping,4,Sayid Ali primary and junior school ,0,July     ,2021,8.141639709,42.29504395,09 - 15,Kato-Katz,26,1,3,0,0,26,0,0,0,0,26,0,0,0,0,26,0,0
