Zone Name,Woreda Name,Region,NTD Zone ID,Woreda ID,Period,Endemicity LF,Endemicity OV,Endemicity STH,Endemicity SCH,Population PreSAC ,Population SAC,Population Adult,PC Rounds planned LF,PC Rounds planned OV,PC Rounds planned STH,PC Rounds planned SCH,Population Targeted for MDA1 SAC,Population Targeted for MDA1 Adult,Population Treated for MDA1 SAC,Population Treated for MDA1 Adult,Population Targeted for MDA3 SAC,Population Targeted for MDA3 Adult,Population Treated for MDA3 Round 1 SAC,Population Treated for MDA3 Round 1 Adult,Population Treated for MDA3 Round 2 SAC,Population Treated for MDA3 Round 2 Adult,Population Targeted for T1-ALB SAC,Population Targeted for T1-PZQ SAC,Population Treated for T1 SAC,,Population Targeted for T2 SAC,Population Targeted for T2 Adult,Population Treated for T2 SAC,Population Treated for T2 Adult,Population Targeted for T3 Round 1 SAC,Population Treated for T3 Round 1 SAC,Population Treated for T3 Round 1 Adult,Population Targeted for T3 Round 2 SAC,Population Treated for T3 Round 2 SAC,Population Treated for T3 Round 2 Adult
Addis Ababa,Addis Ketema Subcity,Addis Ababa ,ORG00000002,ORG00000009,2018,0,0,1,0,22894,"53,142","243,721",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Akaki Kaliti Subcity,Addis Ababa ,ORG00000002,ORG00000008,2018,0,0,1,0,"16,457","38,201","175,200",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Arada Subcity,Addis Ababa ,ORG00000002,ORG00000005,2018,0,0,1,0,"19,047","44,212","202,769",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Bolle Subcity,Addis Ababa ,ORG00000002,ORG00000007,2018,0,0,1,0,"27,719","64,342","295,091",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Gulelie Subcity,Addis Ababa ,ORG00000002,ORG00000003,2018,0,0,1,0,"24,008","55,728","255,583",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Kirkose Subcity,Addis Ababa ,ORG00000002,ORG00000012,2018,0,0,1,0,"19,843","46,059","211,240",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Kolfie Keranio Subcity,Addis Ababa ,ORG00000002,ORG00000006,2018,0,0,1,0,"38,450","89,250","409,324",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Lideta Subcity,Addis Ababa ,ORG00000002,ORG00000010,2018,0,0,1,0,"18,103","42,020","192,717",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Nifase Silk Lafto Subcity,Addis Ababa ,ORG00000002,ORG00000004,2018,0,0,1,0,"28,296","65,681","301,229",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
Addis Ababa,Yeka Subcity,Addis Ababa ,ORG00000002,ORG00000011,2018,0,0,1,0,"31,050","72,074","330,548",0,0,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,
