WASH Zone Name,WASH Woreda Name,Region,NTD Zone ID,NTD Region ID,NTD Woreda,Period,Total Number of Villages (Got) in the Woreda default,Total Number of Villages(Gots) to which HEWs are assigned default,Total Number of HEWs who have been provided with refresher training default,Total number of Households default,Total number of Households with improved toilet default,Total Number of Gots which are OD default,Total Number of Gots which are Primary ODF default,Total Number of Gots which are Secondary ODF default,Total Number of Gots which qualifies for Safely Managed sanitation default,Total number of school in the Woreda default,Total number of schools with Drinking Water with in school premise from protected sources default,Total number of schools with improved toilet default,Total number of schools which are sharing the improved toilet default,Total number of schools having shared toilet and meeting the  standard of toilet for Boys? Default,Total number of schools with separate toilet Block for girls default,Total number of schools with separate toilet block for girls meeting the standard of toilet for girls default,Total number of schools with separate toilet block for boys meeting the standard of toilet for boys default,Total Number of schools with  Handwashing station for children default,Total Number of schools with  Mensrual Hygiene Management system in the school default,Total number of Health Post in the Woreda default,Total number of Health Post with Drinking Water with in Health Post premise from protected sources default,Total number of Health Posts with improved toilet with permanent superstructure default,Total number of Health Posts with Incinerator default,Total number of Health Posts with Placenta Pit default,Total number of Health Posts with Ash pit default,Total number of Health Posts with infectious waste disposal pit default,Total number of Health Centre existing  in the Woreda default,Total number of Health Centre with Drinking Water with in Health Centre premise from protected sources default,Total number of Health Centre Drinking Water in the clinic and other departnets ( inlcuding  the maternity centre/ward) default,Total number of Health Centre with standard improved toilet with permanent superstructure default,Total number of Health Centre with standard improved toilet  with with permanent superstructure  in the maternity centre/ward default,Total number of Health Centre with Incinerator default,Total number of Health Centre with Placenta Pit default,Total number of Health Centre with Ash pit default,Total number of Health Centre with infectious waste disposal pit default
Zone One,Elidear,Afar,ORG00000014,ORG00000013,ORG00000030,2019,67,42,6,16276,789,67,0,0,0,17,0,12,10,0,0,0,0,0,0,12,0,5,0,0,0,0,3,0,0,0,0,3,2,0,0
Zone One,Aysaita,Afar,ORG00000014,ORG00000013,ORG00000027,2019,56,47,0,10554,7895,40,16,0,0,29,7,23,12,1,7,2,1,2,2,12,1,11,3,2,1,0,1,1,0,0,0,1,1,0,0
Zone One,Afambo,Afar,ORG00000014,ORG00000013,ORG00000026,2019,22,,,,,19,3,,,13,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0
Zone One,Dupti,Afar,ORG00000014,ORG00000013,ORG00000025,2019,81,22,0,12912,2114,81,0,0,0,8,3,7,0,0,0,0,0,0,0,11,0,11,1,0,0,2,3,0,0,0,0,3,1,1,1
Zone One,Ada'aar,Afar,ORG00000014,ORG00000013,ORG00000018,2019,68,24,7,11202,64,68,0,0,0,31,0,1,1,1,0,0,0,0,0,8,0,3,6,0,0,0,3,0,0,0,0,3,1,0,0
Zone One,Mille,Afar,ORG00000014,ORG00000013,ORG00000022,2019,69,19,0,5301,1237,60,9,0,0,,,,,,,,,,,9,1,8,1,9,0,0,4,3,0,0,0,3,4,0,1
Zone One,Chifra,Afar,ORG00000014,ORG00000013,ORG00000019,2019,99,86,16,19038,504,99,0,0,0,39,5,18,3,2,0,0,0,0,0,15,1,15,0,0,0,0,3,2,0,0,0,3,3,3,3
Zone One,Kori,Afar,ORG00000014,ORG00000013,ORG00000024,2019,70,61,12,10509,0,62,8,0,0,12,0,4,3,3,2,0,0,0,0,7,0,7,0,0,0,0,2,0,0,1,0,2,2,1,1
Zone One,Samara-Logia,Afar,ORG00000014,ORG00000013,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Two,Dallol,Afar,ORG00000047,ORG00000013,ORG00000036,2019,63,30,30,17240,0,63,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Zone Two,Kuneba,Afar,ORG00000047,ORG00000013,ORG00000046,2019,71,65,0,3616,0,71,0,0,0,27,4,7,7,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,2,0,2,2,1,1
Zone Two,Berahle,Afar,ORG00000047,ORG00000013,ORG00000034,2019,75,75,17,16308,15,68,7,0,0,40,7,13,4,3,9,8,8,4,2,15,0,0,1,0,0,1,4,2,0,4,0,4,4,0,4
Zone Two,Abaa'ala,Afar,ORG00000047,ORG00000013,ORG00000029,2019,66,48,31,7797,526,66,0,0,0,43,10,19,11,2,8,1,1,2,0,8,0,0,0,0,0,0,4,3,0,4,0,3,3,2,2
Zone Two,Erepti,Afar,ORG00000047,ORG00000013,ORG00000044,2019,52,12,12,11885,411,52,0,0,0,32,0,3,5,1,0,0,0,0,0,12,2,10,5,0,0,2,2,0,0,2,0,2,1,1,0
Zone Two,Megalle,Afar,ORG00000047,ORG00000013,ORG00000048,2019,50,42,21,5405,1,49,1,0,0,22,2,5,7,5,1,1,1,1,0,8,0,1,1,0,0,0,3,1,0,2,0,3,1,0,1
Zone Two,Afdera,Afar,ORG00000047,ORG00000013,ORG00000023,2019,33,4,0,32273,104,33,0,0,0,,,,,,,,,,,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Zone Two,Bidu,Afar,ORG00000047,ORG00000013,ORG00000033,2019,62,3,2,4126,902,62,0,0,0,8,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
Zone Three,Amibara,Afar,ORG00000035,ORG00000013,ORG00000020,2019,87,87,0,18915,5314,13,74,0,0,28,15,20,14,2,8,0,0,0,0,20,4,20,0,0,0,0,4,4,0,4,0,4,4,3,4
Zone Three,Awash Fentalle,Afar,ORG00000035,ORG00000013,ORG00000021,2019,41,41,9,17141,0,41,0,0,0,16,0,10,0,0,0,0,0,0,0,11,10,1,0,0,0,0,2,0,0,2,0,2,2,0,0
Zone Three,Gelealo,Afar,ORG00000035,ORG00000013,,2019,79,16,16,8475,333,72,7,0,0,19,2,14,6,7,9,8,7,2,0,13,2,8,0,0,0,0,3,2,0,0,0,2,1,1,1
Zone Three,Gewane,Afar,ORG00000035,ORG00000013,ORG00000042,2019,53,58,21,7464,198,53,0,0,0,17,3,1,1,1,1,1,0,0,0,8,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0
Zone Three,Dulecha,Afar,ORG00000035,ORG00000013,ORG00000037,2019,36,3,0,4630,0,35,1,0,0,36,2,12,12,12,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Zone Three,Argoba,Afar,ORG00000035,ORG00000013,ORG00000017,2019,90,89,21,4468,790,64,26,0,0,15,8,14,10,0,4,4,1,4,0,12,7,12,11,1,0,2,1,1,1,1,0,1,1,1,1
Zone Three,Awash 7,Afar,ORG00000035,ORG00000013,ORG00000015,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Four,Teru,Afar,ORG00000031,ORG00000013,ORG00000050,2019,65,6,0,2895,0,65,0,0,0,14,3,1,1,0,1,0,0,1,0,5,0,0,0,0,0,0,3,1,0,1,0,1,0,0,1
Zone Four,Gulina,Afar,ORG00000031,ORG00000013,ORG00000045,2019,163,7,3,11662,551,163,0,0,0,38,12,11,8,2,4,1,1,0,0,11,0,10,0,0,0,2,2,0,0,1,0,2,1,1,2
Zone Four,Yallo,Afar,ORG00000031,ORG00000013,ORG00000052,2019,127,9,6,9652,19,127,0,0,0,19,2,7,1,1,6,5,6,1,0,11,1,11,4,0,0,0,3,3,1,3,0,3,3,2,0
Zone Four,Awura,Afar,ORG00000031,ORG00000013,ORG00000028,2019,49,9,9,4588,7,49,0,0,0,5,3,0,0,0,0,0,0,0,0,7,2,7,0,0,0,0,2,0,0,1,0,2,2,0,1
Zone Four,Ewaa,Afar,ORG00000031,ORG00000013,ORG00000043,2019,50,9,10,9792,429,50,0,0,0,39,11,13,13,0,0,0,0,0,0,10,10,10,0,0,0,0,2,1,0,0,0,1,2,0,1
Zone Five,Dalifaghe,Afar,ORG00000040,ORG00000013,ORG00000038,2019,41,10,0,2148,0,41,0,0,0,27,45,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Zone Five,Sumirobi,Afar,ORG00000040,ORG00000013,,2019,52,11,12,6948,0,52,0,0,0,37,7,16,3,4,13,10,10,0,0,5,0,5,0,0,0,0,3,0,0,3,0,3,3,0,3
Zone Five,Dewe,Afar,ORG00000040,ORG00000013,ORG00000039,2019,74,74,17,8696,0,74,0,0,0,19,4,16,10,1,3,1,7,3,0,12,2,8,8,0,0,1,3,1,0,3,0,3,3,1,3
Zone Five,Telalek,Afar,ORG00000040,ORG00000013,ORG00000051,2019,98,98,12,6988,30,98,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,1,3,2,0,3,0,3,3,2,3
