woreda,woreda uid,zone,zone id,region,region id
Abadir,ORG00000302,Harare  ,ORG00000301,Harare,ORG00000299
Abala,ORG00000029,Awsa,ORG00000014,Afar,ORG00000013
Abaya,unZLOLtOisg,Borena  ,ORG00000361,Oromia,ORG00000311
Abaya,ORG00000635,West Guji,ORG00000631,Oromia,ORG00000311
Abay Comen,ORG00000484,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Abe Dongoro,ORG00000483,Horo Guduru ,ORG00000482,Oromia,ORG00000311
Abergele,ORG00000194,Wag Hemra,ORG00000193,Amhara,ORG00000053
Abeshge,ORG00000723,Gurage  ,ORG00000719,SNNPR,ORG00000668
Abi Adi,ORG00000942,Central Tigray ,ORG00000935,Tigray,ORG00000934
Abichugna,ORG00000549,North Shoa Zone,ORG00000543,Oromia,ORG00000311
Abobo,ORG00000270,Agnua II ,ORG00000268,Gambella,ORG00000267
Aboker,ORG00000303,Harare  ,ORG00000301,Harare,ORG00000299
Abuna Gindeberet,ORG00000599,W. Shewa ,ORG00000589,Oromia,ORG00000311
Adaba,ORG00000618,West Arsi ,ORG00000613,Oromia,ORG00000311
Adadle,ORG00000919,Shebele  ,ORG00000914,Somali,ORG00000843
Adama,ORG00000426,E. Shewa ,ORG00000413,Oromia,ORG00000311
Adama Town,ORG00000415,E. Shewa ,ORG00000413,Oromia,ORG00000311
Adami Tulu,ORG00000420,E. Shewa ,ORG00000413,Oromia,ORG00000311
Adar,ORG00000018,Awsa,ORG00000014,Afar,ORG00000013
Addis Ketema,ORG00000258,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Addis Ketema Subcity,ORG00000009,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Adea,ORG00000414,E. Shewa ,ORG00000413,Oromia,ORG00000311
Ade'a Berga,ORG00000600,W. Shewa ,ORG00000589,Oromia,ORG00000311
Adi Arkay,ORG00000087,N. Gonder,ORG00000085,Amhara,ORG00000053
Adigrat town,ORG00000950,Eastern Tigray ,ORG00000948,Tigray,ORG00000934
Adihaki,ORG00000963,Mekele  ,ORG00000958,Tigray,ORG00000934
Adiyo,ORG00000746,Kafa  ,ORG00000743,SNNPR,ORG00000668
Adola Town,ORG00000466,Guji  ,ORG00000464,Oromia,ORG00000311
